-0.06324806 C, L  ->  C, r  at  -0.06324806 		PREZERO after 1 iterates
-0.09240924  C, r, R, R, R, R, R, R, R, R  ->  C, r, F, F, F, F, F, F, F, F  at  -0.09240924 		PREFIXED after 9 iterates
-0.09240924 C, r, R  ->  C, r, F  at  -0.09240924 		PREFIXED after 2 iterates
-0.09240924 C, r, R, R  ->  C, r, F, F  at  -0.09240924 		PREFIXED after 3 iterates
-0.09240924 C, r, R, R, R  ->  C, r, F, F, F  at  -0.09240924 		PREFIXED after 4 iterates
-0.09240924 C, r, R, R, R, R  ->  C, r, F, F, F, F  at  -0.09240924 		PREFIXED after 5 iterates
-0.09240924 C, r, R, R, R, R, R, R  ->  C, r, F, F, F, F, F, F  at  -0.09240924 		PREFIXED after 7 iterates
-0.09240924 C, r, R, R, R, R, R, R, R  ->  C, r, F, F, F, F, F, F, F  at  -0.09240924 		PREFIXED after 8 iterates
-0.09249716  C, r, F, F, F, F, F, F, F, F  ->  C, r, F, F, F, F, F, F, F, L  at  -0.09249716 		Period 9 orbit
-0.09255996  C, r, F, F, F, F, F, F, F, L  ->  C, r, F, F, F, F, F, F, F, r  at  -0.09255996 		PREZERO after 9 iterates
-0.09260078 C, r, F, F, F, F, F, F, F  ->  C, r, F, F, F, F, F, F, L  at  -0.09260078 		Period 8 orbit
-0.09263532  C, r, F, F, F, F, F, F, L, r  ->  C, r, F, F, F, F, F, F, L, L  at  -0.09263532 		PREZERO after 9 iterates
-0.09266986  C, r, F, F, F, F, F, F, L, L  ->  C, r, F, F, F, F, F, F, L, F  at  -0.09266986 		Period 9 orbit
-0.09270126  C, r, F, F, F, F, F, F, L, F  ->  C, r, F, F, F, F, F, F, L, R  at  -0.09270126 		PREFIXED after 9 iterates
-0.0927358  C, r, F, F, F, F, F, F, L  ->  C, r, F, F, F, F, F, F, r  at  -0.0927358 		PREZERO after 8 iterates
-0.09281744  C, r, F, F, F, F, F, F, r, R  ->  C, r, F, F, F, F, F, F, r, F  at  -0.09281744 		PREFIXED after 9 iterates
-0.09282686 C, r, F, F, F, F, F, F  ->  C, r, F, F, F, F, F, L  at  -0.09282686 		Period 7 orbit
-0.09283628  C, r, F, F, F, F, F, L, r, F  ->  C, r, F, F, F, F, F, L, r, R  at  -0.09283628 		PREFIXED after 9 iterates
-0.09290222 C, r, F, F, F, F, F, L, r  ->  C, r, F, F, F, F, F, L, L  at  -0.09290222 		PREZERO after 8 iterates
-0.09292734  C, r, F, F, F, F, F, L, L, R  ->  C, r, F, F, F, F, F, L, L, F  at  -0.09292734 		PREFIXED after 9 iterates
-0.09294618  C, r, F, F, F, F, F, L, L, F  ->  C, r, F, F, F, F, F, L, L, L  at  -0.09294618 		Period 9 orbit
-0.09296188  C, r, F, F, F, F, F, L, L, L  ->  C, r, F, F, F, F, F, L, L, r  at  -0.09296188 		PREZERO after 9 iterates
-0.09298072 C, r, F, F, F, F, F, L, L  ->  C, r, F, F, F, F, F, L, F  at  -0.09298072 		Period 8 orbit
-0.09299642  C, r, F, F, F, F, F, L, F, r  ->  C, r, F, F, F, F, F, L, F, L  at  -0.09299642 		PREZERO after 9 iterates
-0.0930184 	 C, r, F, F, F, F, F, L, F, L  ->  C, r, F, F, F, F, F, L, F, F  at  -0.0930184 		Period 9 orbit
-0.09304352  C, r, F, F, F, F, F, L, F, F  ->  C, r, F, F, F, F, F, L, R, R  at  -0.09304352 		PREFIXED after 9 iterates
-0.09304352 C, r, F, F, F, F, F, L, F  ->  C, r, F, F, F, F, F, L, R  at  -0.09304352 		PREFIXED after 8 iterates
-0.09312202 C, r, F, F, F, F, F, L  ->  C, r, F, F, F, F, F, r  at  -0.09312202 		PREZERO after 7 iterates
-0.09328844  C, r, F, F, F, F, F, r, R, R  ->  C, r, F, F, F, F, F, r, F, F  at  -0.09328844 		PREFIXED after 9 iterates
-0.09328844 C, r, F, F, F, F, F, r, R  ->  C, r, F, F, F, F, F, r, F  at  -0.09328844 		PREFIXED after 8 iterates
-0.09332298 C, r, F, F, F, F, F  ->  C, r, F, F, F, F, L  at  -0.09332298 		Period 6 orbit
-0.09335752  C, r, F, F, F, F, L, r, F, F  ->  C, r, F, F, F, F, L, r, R, R  at  -0.09335752 		PREFIXED after 9 iterates
-0.09335752 C, r, F, F, F, F, L, r, F  ->  C, r, F, F, F, F, L, r, R  at  -0.09335752 		PREFIXED after 8 iterates
-0.09349254 C, r, F, F, F, F, L, r  ->  C, r, F, F, F, F, L, L  at  -0.09349254 		PREZERO after 7 iterates
-0.09354278  C, r, F, F, F, F, L, L, R, R  ->  C, r, F, F, F, F, L, L, F, F  at  -0.09354278 		PREFIXED after 9 iterates
-0.09354278 C, r, F, F, F, F, L, L, R  ->  C, r, F, F, F, F, L, L, F  at  -0.09354278 		PREFIXED after 8 iterates
