C, r, R, R, R, R, R, R, R, R, R		 at 	-0.092425254	
C, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.092438599			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, R, R, L	0	 at 	-0.09245477			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, R, R, L		 at 	-0.092462149	
C, r, R, R, R, R, R, R, R, L, L		 at 	-0.092520082	
C, r, R, R, R, R, R, R, R, L, L	0	 at 	-0.092524007			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, R, L, R	0	 at 	-0.092531072			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, R, L, R		 at 	-0.092535782	
C, r, R, R, R, R, R, R, L, L, R		 at 	-0.092648351	
C, r, R, R, R, R, R, R, L, L, R	0	 at 	-0.09265102			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, L, L, L	0	 at 	-0.092654945			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, L, L, L		 at 	-0.092657143	
C, r, R, R, R, R, R, R, L, R, L		 at 	-0.092682106	
C, r, R, R, R, R, R, R, L, R, L	0	 at 	-0.092684775			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, L, R, R	0	 at 	-0.092689799			PREZERO after 11 iterates
C, r, R, R, R, R, R, R, L, R, R		 at 	-0.092693724	
C, r, R, R, R, R, R, L, L, R, R		 at 	-0.09292891	
C, r, R, R, R, R, R, L, L, R, R	0	 at 	-0.092931108			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, L, R, L	0	 at 	-0.092934248			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, L, R, L		 at 	-0.092935661	
C, r, R, R, R, R, R, L, L, L, L		 at 	-0.092949634	
C, r, R, R, R, R, R, L, L, L, L	0	 at 	-0.09295089			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, L, L, R	0	 at 	-0.092952931			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, L, L, R		 at 	-0.092954344	
C, r, R, R, R, R, R, L, R, L, R		 at 	-0.093003485	
C, r, R, R, R, R, R, L, R, L, R	0	 at 	-0.093005212			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, R, L, L	0	 at 	-0.093007724			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, R, L, L		 at 	-0.093009137	
C, r, R, R, R, R, R, L, R, R, L		 at 	-0.093027349	
C, r, R, R, R, R, R, L, R, R, L	0	 at 	-0.09302939			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, R, R, R	0	 at 	-0.093033943			PREZERO after 11 iterates
C, r, R, R, R, R, R, L, R, R, R		 at 	-0.093037397	
C, r, R, R, R, R, L, L, R, R, R		 at 	-0.093545449	
C, r, R, R, R, R, L, L, R, R, R	0	 at 	-0.093547647			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, R, R, L	0	 at 	-0.093550316			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, R, R, L		 at 	-0.093551572	
C, r, R, R, R, R, L, L, R, L, L		 at 	-0.093562405	
C, r, R, R, R, R, L, L, R, L, L	0	 at 	-0.09356319			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, R, L, R	0	 at 	-0.09356476			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, R, L, R		 at 	-0.093565702	
C, r, R, R, R, R, L, L, L, L, R		 at 	-0.093593334	
C, r, R, R, R, R, L, L, L, L, R	0	 at 	-0.093593962			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, L, L, L	0	 at 	-0.093595218			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, L, L, L		 at 	-0.093595689	
C, r, R, R, R, R, L, L, L, R, L		 at 	-0.093603068	
C, r, R, R, R, R, L, L, L, R, L	0	 at 	-0.093603853			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, L, R, R	0	 at 	-0.093605423			PREZERO after 11 iterates
C, r, R, R, R, R, L, L, L, R, R		 at 	-0.093606679	
C, r, R, R, R, R, L, R, L, R, R		 at 	-0.093710456	
C, r, R, R, R, R, L, R, L, R, R	0	 at 	-0.093711869			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, L, R, L	0	 at 	-0.093713753			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, L, R, L		 at 	-0.093714695	
C, r, R, R, R, R, L, R, L, L, L		 at 	-0.093723487	
C, r, R, R, R, R, L, R, L, L, L	0	 at 	-0.093724272			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, L, L, R	0	 at 	-0.093725528			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, L, L, R		 at 	-0.09372647	
C, r, R, R, R, R, L, R, R, L, R		 at 	-0.093762423	
C, r, R, R, R, R, L, R, R, L, R	0	 at 	-0.093763836			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, R, L, L	0	 at 	-0.093765877			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, R, L, L		 at 	-0.093766976	
C, r, R, R, R, R, L, R, R, R, L		 at 	-0.09378299	
C, r, R, R, R, R, L, R, R, R, L	0	 at 	-0.093784874			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, R, R, R	0	 at 	-0.093789113			PREZERO after 11 iterates
C, r, R, R, R, R, L, R, R, R, R		 at 	-0.09379241	
C, r, R, R, R, R, r, R, R, R, R		 at 	-0.094341282	
C, r, R, R, R, R, r, R, R, R, R	0	 at 	-0.094371583			PREZERO after 11 iterates
C, r, R, R, R, L, r, R, R, R, R	0	 at 	-0.094478029			PREZERO after 11 iterates
C, r, R, R, R, L, r, R, R, R, R		 at 	-0.094506603	
C, r, R, R, R, L, L, R, R, R, R		 at 	-0.094923909	
C, r, R, R, R, L, L, R, R, R, R	0	 at 	-0.09492595			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, R, R, L	0	 at 	-0.094928619			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, R, R, L		 at 	-0.094929718	
C, r, R, R, R, L, L, R, R, L, L		 at 	-0.094939452	
C, r, R, R, R, L, L, R, R, L, L	0	 at 	-0.09494008			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, R, L, R	0	 at 	-0.094941336			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, R, L, R		 at 	-0.094942121	
C, r, R, R, R, L, L, R, L, L, R		 at 	-0.09496363	
C, r, R, R, R, L, L, R, L, L, R	0	 at 	-0.094964101			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, L, L, L	0	 at 	-0.094964886			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, L, L, L		 at 	-0.094965357	
C, r, R, R, R, L, L, R, L, R, L		 at 	-0.094970538	
C, r, R, R, R, L, L, R, L, R, L	0	 at 	-0.094971009			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, L, R, R	0	 at 	-0.094972108			PREZERO after 11 iterates
C, r, R, R, R, L, L, R, L, R, R		 at 	-0.094972893	
C, r, R, R, R, L, L, L, L, R, R		 at 	-0.095031611	
C, r, R, R, R, L, L, L, L, R, R	0	 at 	-0.095032082			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, L, R, L	0	 at 	-0.095033024			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, L, R, L		 at 	-0.095033338	
C, r, R, R, R, L, L, L, L, L, L		 at 	-0.095037263	
C, r, R, R, R, L, L, L, L, L, L	0	 at 	-0.095037577			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, L, L, R	0	 at 	-0.095038205			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, L, L, R		 at 	-0.095038519	
C, r, R, R, R, L, L, L, R, L, R		 at 	-0.09505312	
C, r, R, R, R, L, L, L, R, L, R	0	 at 	-0.095053591			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, R, L, L	0	 at 	-0.095054376			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, R, L, L		 at 	-0.095054847	
C, r, R, R, R, L, L, L, R, R, L		 at 	-0.095060342	
C, r, R, R, R, L, L, L, R, R, L	0	 at 	-0.09506097			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, R, R, R	0	 at 	-0.095062383			PREZERO after 11 iterates
C, r, R, R, R, L, L, L, R, R, R		 at 	-0.095063482	
C, r, R, R, R, L, L, r, R, R, R		 at 	-0.09515988	
C, r, R, R, R, L, R, r, R, R, R		 at 	-0.095187512	
C, r, R, R, R, L, R, L, R, R, R		 at 	-0.095292388	
C, r, R, R, R, L, R, L, R, R, R	0	 at 	-0.095293644			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, R, R, L	0	 at 	-0.095295214			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, R, R, L		 at 	-0.095295999	
C, r, R, R, R, L, R, L, R, L, L		 at 	-0.095302593	
C, r, R, R, R, L, R, L, R, L, L	0	 at 	-0.095303064			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, R, L, R	0	 at 	-0.095304006			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, R, L, R		 at 	-0.095304634	
C, r, R, R, R, L, R, L, L, L, R		 at 	-0.095322061	
C, r, R, R, R, L, R, L, L, L, R	0	 at 	-0.095322532			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, L, L, L	0	 at 	-0.095323317			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, L, L, L		 at 	-0.095323631	
C, r, R, R, R, L, R, L, L, R, L		 at 	-0.095328498	
C, r, R, R, R, L, R, L, L, R, L	0	 at 	-0.095328969			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, L, R, R	0	 at 	-0.095329911			PREZERO after 11 iterates
C, r, R, R, R, L, R, L, L, R, R		 at 	-0.095330696	
C, r, R, R, R, L, R, R, L, R, R		 at 	-0.09540794	
C, r, R, R, R, L, R, R, L, R, R	0	 at 	-0.095408882			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, L, R, L	0	 at 	-0.095410452			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, L, R, L		 at 	-0.095411237	
C, r, R, R, R, L, R, R, L, L, L		 at 	-0.095418459	
C, r, R, R, R, L, R, R, L, L, L	0	 at 	-0.09541893			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, L, L, R	0	 at 	-0.095420186			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, L, L, R		 at 	-0.095420814	
C, r, R, R, R, L, R, R, R, L, R		 at 	-0.095452842	
C, r, R, R, R, L, R, R, R, L, R	0	 at 	-0.095453941			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, R, L, L	0	 at 	-0.095455982			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, R, L, L		 at 	-0.095456924	
C, r, R, R, R, L, R, R, R, R, L		 at 	-0.095472153	
C, r, R, R, R, L, R, R, R, R, L	0	 at 	-0.095474037			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, R, R, R	0	 at 	-0.095478276			PREZERO after 11 iterates
C, r, R, R, R, L, R, R, R, R, R		 at 	-0.095481573	
C, r, R, R, R, r, R, R, R, R, R		 at 	-0.096580259	
C, r, R, R, R, r, R, R, R, R, R	0	 at 	-0.096593604			PREZERO after 11 iterates
C, r, R, R, R, r, R, R, R, R, L	0	 at 	-0.096612444			PREZERO after 11 iterates
C, r, R, R, R, r, R, R, R, R, L		 at 	-0.096620451	
C, r, R, R, R, r, R, R, R, L, L		 at 	-0.096699579	
C, r, R, R, R, r, R, R, R, L, L	0	 at 	-0.096705231			PREZERO after 11 iterates
C, r, R, R, R, r, R, R, R, L, R	0	 at 	-0.09671732			PREZERO after 11 iterates
C, r, R, R, R, r, R, R, R, L, R		 at 	-0.096724856	
C, r, R, R, L, r, R, R, R, L, R		 at 	-0.097185965	
