C, r, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092410496	
C, r, R, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092413322			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L	0	 at 	-0.092416776			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L		 at 	-0.092418346	
C, r, R, R, R, R, R, R, R, R, R, L, L		 at 	-0.092430592	
C, r, R, R, R, R, R, R, R, R, R, L, L	0	 at 	-0.092431377			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, R, L, R	0	 at 	-0.092432947			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.092433889	
C, r, R, R, R, R, R, R, R, R, L, L, R		 at 	-0.092457753	
C, r, R, R, R, R, R, R, R, R, L, L, R	0	 at 	-0.092458381			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, L, L, L	0	 at 	-0.092459166			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, L, L, L		 at 	-0.092459637	
C, r, R, R, R, R, R, R, R, R, L, R, L		 at 	-0.092464975	
C, r, R, R, R, R, R, R, R, R, L, R, L	0	 at 	-0.092465446			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, L, R, R	0	 at 	-0.092466545			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, R, L, R, R		 at 	-0.092467487	
C, r, R, R, R, R, R, R, R, L, L, R, R		 at 	-0.092516942	
C, r, R, R, R, R, R, R, R, L, L, R, R	0	 at 	-0.09251757			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, L, R, L	0	 at 	-0.092518198			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, L, R, L		 at 	-0.092518512	
C, r, R, R, R, R, R, R, R, L, L, L, L		 at 	-0.092521495	
C, r, R, R, R, R, R, R, R, L, L, L, L	0	 at 	-0.092521652			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, L, L, R	0	 at 	-0.092522123			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, L, L, R		 at 	-0.092522437	
C, r, R, R, R, R, R, R, R, L, R, L, R		 at 	-0.092532799	
C, r, R, R, R, R, R, R, R, L, R, L, R	0	 at 	-0.092533113			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, R, L, L	0	 at 	-0.092533741			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, R, L, L		 at 	-0.092533898	
C, r, R, R, R, R, R, R, R, L, R, R, L		 at 	-0.092537823	
C, r, R, R, R, R, R, R, R, L, R, R, L	0	 at 	-0.092538294			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, R, R, R	0	 at 	-0.092539236			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, R, L, R, R, R		 at 	-0.092540021	
C, r, R, R, R, R, R, R, L, L, R, R, R		 at 	-0.092645682	
C, r, R, R, R, R, R, R, L, L, R, R, R	0	 at 	-0.092646153			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, R, R, L	0	 at 	-0.092646781			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, R, R, L		 at 	-0.092647095	
C, r, R, R, R, R, R, R, L, L, R, L, L		 at 	-0.092649293	
C, r, R, R, R, R, R, R, L, L, R, L, L	0	 at 	-0.09264945			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, R, L, R	0	 at 	-0.092649764			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, R, L, R		 at 	-0.092650078	
C, r, R, R, R, R, R, R, L, L, L, L, R		 at 	-0.092655887	
C, r, R, R, R, R, R, R, L, L, L, L, R	0	 at 	-0.092656044			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, L, L, L	0	 at 	-0.092656201			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, L, L, L		 at 	-0.092656358	
C, r, R, R, R, R, R, R, L, L, L, R, L		 at 	-0.092657928	
C, r, R, R, R, R, R, R, L, L, L, R, L	0	 at 	-0.092658085			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, L, R, R	0	 at 	-0.092658399			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, L, L, R, R		 at 	-0.092658713	
C, r, R, R, R, R, R, R, L, R, L, R, R		 at 	-0.092680379	
C, r, R, R, R, R, R, R, L, R, L, R, R	0	 at 	-0.092680536			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, L, R, L	0	 at 	-0.092681007			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, L, R, L		 at 	-0.092681164	
C, r, R, R, R, R, R, R, L, R, L, L, L		 at 	-0.092683048	
C, r, R, R, R, R, R, R, L, R, L, L, L	0	 at 	-0.092683205			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, L, L, R	0	 at 	-0.092683519			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, L, L, R		 at 	-0.092683676	
C, r, R, R, R, R, R, R, L, R, R, L, R		 at 	-0.092691212	
C, r, R, R, R, R, R, R, L, R, R, L, R	0	 at 	-0.092691526			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, R, L, L	0	 at 	-0.092691997			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, R, L, L		 at 	-0.092692154	
C, r, R, R, R, R, R, R, L, R, R, R, L		 at 	-0.092695608	
C, r, R, R, R, R, R, R, L, R, R, R, L	0	 at 	-0.092695922			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, R, R, R	0	 at 	-0.092696864			PREZERO after 13 iterates
C, r, R, R, R, R, R, R, L, R, R, R, R		 at 	-0.092697492	
C, r, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.092926398	
C, r, R, R, R, R, R, L, L, R, R, R, R	0	 at 	-0.092926869			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, R, R, L	0	 at 	-0.092927497			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, R, R, L		 at 	-0.092927654	
C, r, R, R, R, R, R, L, L, R, R, L, L		 at 	-0.092929695	
C, r, R, R, R, R, R, L, L, R, R, L, L	0	 at 	-0.092929852			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, R, L, R	0	 at 	-0.092930166			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, R, L, R		 at 	-0.092930323	
C, r, R, R, R, R, R, L, L, R, L, L, R		 at 	-0.092934719	
C, r, R, R, R, R, R, L, L, R, L, L, R	0	 at 	-0.092934876			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, L, L, R	0	 at 	-0.092935033			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, L, L, L		 at 	-0.09293519	
C, r, R, R, R, R, R, L, L, R, L, R, L		 at 	-0.092936289	
C, r, R, R, R, R, R, L, L, R, L, R, R	0	 at 	-0.092936603			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, R, L, R, R		 at 	-0.09293676	
C, r, R, R, R, R, R, L, L, L, L, R, R		 at 	-0.092948849	
C, r, R, R, R, R, R, L, L, L, L, R, R	0	 at 	-0.092949006			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, L, R, R	0	 at 	-0.092949163			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, L, R, L		 at 	-0.09294932	
C, r, R, R, R, R, R, L, L, L, L, L, L		 at 	-0.092950105	
C, r, R, R, R, R, R, L, L, L, L, L, L	0	 at 	-0.092950262			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, L, L, R		 at 	-0.092950419	
C, r, R, R, R, R, R, L, L, L, R, L, R		 at 	-0.092953402	
C, r, R, R, R, R, R, L, L, L, R, L, R	0	 at 	-0.092953559			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, R, L, R	0	 at 	-0.092953716			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, R, L, L		 at 	-0.092953873	
C, r, R, R, R, R, R, L, L, L, R, R, L		 at 	-0.092954972	
C, r, R, R, R, R, R, L, L, L, R, R, L	0	 at 	-0.092955129			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, R, R, R	0	 at 	-0.092955443			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, L, L, R, R, R		 at 	-0.0929556	
C, r, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.093002072	
C, r, R, R, R, R, R, L, R, L, R, R, R	0	 at 	-0.093002229			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, R, R, L	0	 at 	-0.0930027			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, R, R, L		 at 	-0.093002857	
C, r, R, R, R, R, R, L, R, L, R, L, L		 at 	-0.093004113	
C, r, R, R, R, R, R, L, R, L, R, L, L	0	 at 	-0.09300427			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, R, L, L	0	 at 	-0.093004427			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, R, L, R		 at 	-0.093004584	
C, r, R, R, R, R, R, L, R, L, L, L, R		 at 	-0.093008195	
C, r, R, R, R, R, R, L, R, L, L, L, R	0	 at 	-0.093008352			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, L, L, R	0	 at 	-0.093008509			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, L, L, L		 at 	-0.093008666	
C, r, R, R, R, R, R, L, R, L, L, R, L		 at 	-0.093009608	
C, r, R, R, R, R, R, L, R, L, L, R, L	0	 at 	-0.093009765			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, L, R, R	0	 at 	-0.093009922			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, L, L, R, R		 at 	-0.093010079	
C, r, R, R, R, R, R, L, R, R, L, R, R		 at 	-0.093025779	
C, r, R, R, R, R, R, L, R, R, L, R, R	0	 at 	-0.093026093			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, L, R, L	0	 at 	-0.093026407			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, L, R, L		 at 	-0.093026564	
C, r, R, R, R, R, R, L, R, R, L, L, L		 at 	-0.093027977	
C, r, R, R, R, R, R, L, R, R, L, L, L	0	 at 	-0.093028134			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, L, L, R	0	 at 	-0.093028448			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, L, L, R		 at 	-0.093028605	
C, r, R, R, R, R, R, L, R, R, R, L, R		 at 	-0.093035199	
C, r, R, R, R, R, R, L, R, R, R, L, R	0	 at 	-0.093035356			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, R, L, L	0	 at 	-0.093035827			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, R, L, L		 at 	-0.093035984	
C, r, R, R, R, R, R, L, R, R, R, R, L		 at 	-0.093039124	
C, r, R, R, R, R, R, L, R, R, R, R, L	0	 at 	-0.093039595			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, R, R, R	0	 at 	-0.09304038			PREZERO after 13 iterates
C, r, R, R, R, R, R, L, R, R, R, R, R		 at 	-0.093041008	
C, r, R, R, R, R, R, r, R, R, R, R, R		 at 	-0.093296761	
C, r, R, R, R, R, R, r, R, R, R, R, R	0	 at 	-0.093306024			PREZERO after 13 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R	0	 at 	-0.093337738			PREZERO after 13 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R		 at 	-0.09334653	
C, r, R, R, R, R, L, L, R, R, R, R, R		 at 	-0.093543251	
C, r, R, R, R, R, L, L, R, R, R, R, R	0	 at 	-0.093543565			PREZERO after 13 iterates
C, r, R, R, R, R, L, L, R, R, R, R, L	0	 at 	-0.093544193			PREZERO after 13 iterates
C, r, R, R, R, R, L, L, R, R, R, R, L		 at 	-0.09354435	
C, r, R, R, R, R, L, L, R, R, R, L, L		 at 	-0.093546391	
C, r, R, R, R, R, L, L, R, R, R, L, R	0	 at 	-0.093546705			PREZERO after 13 iterates
C, r, R, R, R, R, L, L, R, R, R, L, R		 at 	-0.093546862	
C, r, R, R, R, R, L, L, R, R, L, L, R		 at 	-0.093550787	
C, r, R, R, R, R, L, L, R, R, L, L, R	0	 at 	-0.093550944			PREZERO after 13 iterates
C, r, R, R, R, R, L, L, R, R, L, L, L		 at 	-0.093551101	
C, r, R, R, R, R, L, L, R, R, L, R, L		 at 	-0.093552043	
C, r, R, R, R, R, L, L, R, R, L, R, L	0	 at 	-0.0935522			PREZERO after 13 iterates
C, r, R, R, R, R, L, L, R, R, L, R, R	0	 at 	-0.093552357			PREZERO after 13 iterates
C, r, R, R, R, R, L, L, R, R, L, R, R		 at 	-0.093552514	
C, r, R, R, R, R, L, L, R, L, L, R, R		 at 	-0.093561777	
C, r, R, R, R, R, L, L, R, L, L, R, R	0	 at 	-0.093561934			PREZERO after 13 iterates
