C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092406571	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092406728			PREZERO after 17 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092406885	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, L, L		 at 	-0.092407513	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.09240767	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, R, r		 at 	-0.092409083	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, R, R		 at 	-0.09240924	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L, R, L		 at 	-0.092411595	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L, L, R		 at 	-0.092411752	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, r, R		 at 	-0.092412066	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, L, R		 at 	-0.092412223	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, R, r		 at 	-0.09241238	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, R, R		 at 	-0.092412537	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, L, r, R		 at 	-0.092417718	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, L, R, L		 at 	-0.092417875	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R, L, r		 at 	-0.092419445	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R, R, L		 at 	-0.092419602	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.092429807	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R, R, L		 at 	-0.092429964	
C, r, R, R, R, R, R, R, R, R, R, L, L, L, R, r, R		 at 	-0.092431063	
C, r, R, R, R, R, R, R, R, R, R, L, L, L, R, R, R		 at 	-0.09243122	
C, r, R, R, R, R, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.092433261	
C, r, R, R, R, R, R, R, R, R, R, L, R, L, R, L, R		 at 	-0.092433418	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, r, R		 at 	-0.092434674	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, R, L		 at 	-0.092434988	
C, r, R, R, R, R, R, R, R, R, L, L, R, L, r, R, R		 at 	-0.09245791	
C, r, R, R, R, R, R, R, R, R, L, L, R, L, L, R, R		 at 	-0.092458067	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R, R, R		 at 	-0.092459323	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R, L, L		 at 	-0.09245948	
C, r, R, R, R, R, R, R, R, R, L, L, L, R, L, r, R		 at 	-0.092459951	
C, r, R, R, R, R, R, R, R, R, L, L, L, R, R, R, L		 at 	-0.092460108	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, R, R, R		 at 	-0.092466859	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, R, L, R		 at 	-0.092467016	
C, r, R, R, R, R, R, R, R, R, L, R, R, R, R, L, L		 at 	-0.092468272	
C, r, R, R, R, R, R, R, R, R, L, R, R, R, R, R, L		 at 	-0.092468429	
C, r, R, R, R, R, R, R, R, L, L, R, R, R, R, R, R		 at 	-0.092516471	
C, r, R, R, R, R, R, R, R, L, L, R, R, R, R, L, R		 at 	-0.092516628	
C, r, R, R, R, R, R, R, R, L, L, R, R, L, r, R, R		 at 	-0.092517099	
C, r, R, R, R, R, R, R, R, L, L, R, R, L, L, R, L	0	 at 	-0.092517256			PREZERO after 17 iterates
