C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092406571	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, L		 at 	-0.092406728	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, r		 at 	-0.092406885	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.092407042	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L, R, L, R		 at 	-0.092411595	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L, L, R, L		 at 	-0.092411752	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, r, R, R		 at 	-0.092412066	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, L, R, L		 at 	-0.092412223	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, R, r, R		 at 	-0.09241238	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, R, R, L		 at 	-0.092412537	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R, R, R, R		 at 	-0.092429807	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R, R, L, L		 at 	-0.092429964	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, L, L, L		 at 	-0.092434831	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, R, L, L		 at 	-0.092434988	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R, R, R, R		 at 	-0.092459323	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R, L, L, L		 at 	-0.09245948	
C, r, R, R, R, R, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.092516314	
C, r, R, R, R, R, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.092516471	
C, r, R, R, R, R, R, R, R, L, L, R, L, L, r, R, R, R		 at 	-0.092518512	
C, r, R, R, R, R, R, R, R, L, L, R, L, R, L, L, R, L		 at 	-0.092518669	
C, r, R, R, R, R, R, R, R, L, R, L, R, R, R, R, R, R		 at 	-0.092532328	
C, r, R, R, R, R, R, R, R, L, R, L, R, R, R, R, R, R		 at 	-0.092532485	
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.092596384	
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R	0	 at 	-0.092596698			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L	0	 at 	-0.092597012			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L		 at 	-0.092597169	
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L		 at 	-0.092601251	
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L	0	 at 	-0.092601408			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R	0	 at 	-0.092601879			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R		 at 	-0.092602036	
C, r, R, R, R, R, R, R, L, L, R, r, R, R, R, R, R, R		 at 	-0.092653061	
C, r, R, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R		 at 	-0.092653218	
C, r, R, R, R, R, R, R, L, L, L, L, L, r, R, R, R, R		 at 	-0.092656201	
C, r, R, R, R, R, R, R, L, L, L, L, L, L, R, L, R, L	0	 at 	-0.092656358			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, L, L, L, L, R, R, L, R, R		 at 	-0.092656515	
C, r, R, R, R, R, R, R, L, L, L, R, L, R, R, R, R, R		 at 	-0.092657771	
C, r, R, R, R, R, R, R, L, L, L, R, L, R, L, L, R, R		 at 	-0.092657928	
C, r, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R		 at 	-0.092668447	
C, r, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R	0	 at 	-0.092668604			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R	0	 at 	-0.092668761			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L	0	 at 	-0.092669389			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L	0	 at 	-0.092669546			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, L, R, r, R, R, R, R, R, R, R		 at 	-0.092669703	
C, r, R, R, R, R, R, R, L, R, L, r, R, R, R, R, R, R		 at 	-0.092686973	
C, r, R, R, R, R, R, R, L, R, R, r, R, R, R, R, R, R		 at 	-0.092687287	
C, r, R, R, R, R, R, R, L, R, R, R, L, R, r, R, R, R		 at 	-0.092695608	
C, r, R, R, R, R, R, R, L, R, R, R, L, L, L, L, R, R		 at 	-0.092695765	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R		 at 	-0.092815399	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.092815556			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.092815713			PREZERO after 18 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, L		 at 	-0.09281587	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L, L		 at 	-0.092816655	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L, R		 at 	-0.092816969	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, L, R		 at 	-0.092818853	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, L, R		 at 	-0.09281901	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, R, r		 at 	-0.092819481	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, R, R		 at 	-0.092819795	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, R, R		 at 	-0.092831413	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, R, R	0	 at 	-0.09283157			PREZERO after 18 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, R, L		 at 	-0.092831727	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, L, r		 at 	-0.092832198	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, L, L		 at 	-0.092832355	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R		 at 	-0.092834239	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L, L		 at 	-0.092834553	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L		 at 	-0.092835338	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L	0	 at 	-0.092835495			PREZERO after 18 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.092835809	
C, r, R, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R		 at 	-0.092928753	
C, r, R, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R		 at 	-0.09292891	
C, r, R, R, R, R, R, L, L, R, R, r, R, R, R, R, R, R		 at 	-0.092932521	
C, r, R, R, R, R, R, L, L, R, L, r, R, R, R, R, R, R		 at 	-0.092932992	
C, r, R, R, R, R, R, L, L, R, L, R, R, L, L, L, r, R		 at 	-0.09293676	
C, r, R, R, R, R, R, L, L, R, L, R, R, R, L, L, L, R		 at 	-0.092936917	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, R, R		 at 	-0.092942569	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, R, L		 at 	-0.092942726	
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R, r		 at 	-0.092943511	
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R, L		 at 	-0.092943668	
C, r, R, R, R, R, R, L, L, L, L, R, r, R, R, R, R, R		 at 	-0.092949634	
C, r, R, R, R, R, R, L, L, L, L, L, r, R, R, R, R, R		 at 	-0.092949791	
C, r, R, R, R, R, R, L, L, L, L, r, R, R, R, R, R, R		 at 	-0.092951675	
C, r, R, R, R, R, R, L, L, L, R, r, R, R, R, R, R, R		 at 	-0.092951989	
C, r, R, R, R, R, R, L, L, L, R, R, R, r, R, R, R, R		 at 	-0.092955443	
C, r, R, R, R, R, R, L, L, L, R, R, R, L, R, L, R, R		 at 	-0.0929556	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R		 at 	-0.092975696	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R, L		 at 	-0.092975853	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L, L, R		 at 	-0.092977266	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L, L, R		 at 	-0.092977423	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, L, L, L		 at 	-0.092978522	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, L, L, L		 at 	-0.092978679	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L, R		 at 	-0.092979778	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L, L		 at 	-0.092979935	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, R, L		 at 	-0.092980249	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R, R, R		 at 	-0.092980406	
C, r, R, R, R, R, R, L, R, L, R, R, r, R, R, R, R, R		 at 	-0.093003485	
C, r, R, R, R, R, R, L, R, L, R, L, r, R, R, R, R, R		 at 	-0.093003642	
C, r, R, R, R, R, R, L, R, L, R, r, R, R, R, R, R, R		 at 	-0.093006311	
C, r, R, R, R, R, R, L, R, L, R, r, R, R, R, R, R, R		 at 	-0.093006468	
C, r, R, R, R, R, R, L, R, L, L, L, r, R, R, R, R, R		 at 	-0.09300898	
C, r, R, R, R, R, R, L, R, L, L, L, r, R, R, R, R, R		 at 	-0.093009137	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R		 at 	-0.093016516	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R		 at 	-0.093016673	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, L, r		 at 	-0.093016987	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, L, L	0	 at 	-0.093017144			PREZERO after 18 iterates
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R	0	 at 	-0.093017458			PREZERO after 18 iterates
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R, L, L		 at 	-0.093017615	
