C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092406414	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092406571	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, L, R, R, R		 at 	-0.092408769	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, L, L, R, R		 at 	-0.092408926	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, L, L, L, R		 at 	-0.092434831	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, R, L, L, L		 at 	-0.092434988	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.092457125	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R, R, L, R, R		 at 	-0.092457282	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, R, R, R, R, R		 at 	-0.092466859	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, R, L, R, L, R		 at 	-0.092467016	
C, r, R, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.092494491	
C, r, R, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R	0	 at 	-0.092494805			PREZERO after 19 iterates
C, r, R, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R	0	 at 	-0.092495747			PREZERO after 19 iterates
C, r, R, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R		 at 	-0.092496061	
C, r, R, R, R, R, R, R, R, L, L, R, L, L, r, R, R, R, R		 at 	-0.092518512	
C, r, R, R, R, R, R, R, R, L, L, R, L, R, L, L, R, L, L		 at 	-0.092518669	
C, r, R, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R		 at 	-0.092527304	
C, r, R, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R		 at 	-0.092527461	
C, r, R, R, R, R, R, R, R, L, R, L, R, R, R, R, R, R, R		 at 	-0.092532328	
C, r, R, R, R, R, R, R, R, L, R, L, R, R, R, R, R, R, L		 at 	-0.092532485	
C, r, R, R, R, R, R, R, R, L, R, L, R, L, r, R, R, R, R		 at 	-0.092532956	
C, r, R, R, R, R, R, R, R, L, R, L, R, L, R, R, L, R, R		 at 	-0.092533113	
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R		 at 	-0.09259607	
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.092596227			PREZERO after 19 iterates
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.092596384			PREZERO after 19 iterates
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R, L		 at 	-0.092596541	
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L, L		 at 	-0.092597169	
C, r, R, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L, R		 at 	-0.092597326	
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R		 at 	-0.092601094	
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R		 at 	-0.092601251	
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, r		 at 	-0.092601879	
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, L	0	 at 	-0.092602036			PREZERO after 19 iterates
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R	0	 at 	-0.092602193			PREZERO after 19 iterates
C, r, R, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.09260235	
C, r, R, R, R, R, R, R, L, L, R, r, R, R, R, R, R, R, R		 at 	-0.092652904	
C, r, R, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R, L		 at 	-0.092653218	
C, r, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R		 at 	-0.092668447	
C, r, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R, L		 at 	-0.092668604	
C, r, R, R, R, R, R, R, L, L, r, R, R, R, R, R, R, L, L		 at 	-0.092668918	
C, r, R, R, R, R, R, R, L, R, r, R, R, R, R, R, R, L, L		 at 	-0.092669232	
C, r, R, R, R, R, R, R, L, R, r, R, R, R, R, R, R, R, L		 at 	-0.092669703	
C, r, R, R, R, R, R, R, L, R, r, R, R, R, R, R, R, R, R		 at 	-0.09266986	
C, r, R, R, R, R, R, R, L, R, L, R, r, R, R, R, R, R, R		 at 	-0.092682106	
C, r, R, R, R, R, R, R, L, R, L, L, r, R, R, R, R, R, R		 at 	-0.092682263	
C, r, R, R, R, R, R, R, L, R, L, r, R, R, R, R, R, R, R		 at 	-0.092686973	
