C, r, R, R, R, R, R, R, R, R		 at 	-0.092447391	
C, r, R, R, R, R, R, R, R, R	0	 at 	-0.092476279			PREZERO after 10 iterates
C, r, R, R, R, R, R, R, R, L	0	 at 	-0.09251129			PREZERO after 10 iterates
C, r, R, R, R, R, R, R, R, L		 at 	-0.092527461	
C, r, R, R, R, R, R, R, L, L		 at 	-0.092653061	
C, r, R, R, R, R, R, R, L, L	0	 at 	-0.092661539			PREZERO after 10 iterates
C, r, R, R, R, R, R, R, L, R	0	 at 	-0.092677082			PREZERO after 10 iterates
C, r, R, R, R, R, R, R, L, R		 at 	-0.09268713	
C, r, R, R, R, R, R, L, L, R		 at 	-0.092932678	
C, r, R, R, R, R, R, L, L, R	0	 at 	-0.092938644			PREZERO after 10 iterates
C, r, R, R, R, R, R, L, L, L	0	 at 	-0.092947279			PREZERO after 10 iterates
C, r, R, R, R, R, R, L, L, L		 at 	-0.092951832	
C, r, R, R, R, R, R, L, R, L		 at 	-0.093006468	
C, r, R, R, R, R, R, L, R, L	0	 at 	-0.093011963			PREZERO after 10 iterates
C, r, R, R, R, R, R, L, R, R	0	 at 	-0.093023267			PREZERO after 10 iterates
C, r, R, R, R, R, R, L, R, R		 at 	-0.093031431	
C, r, R, R, R, R, L, L, R, R		 at 	-0.09354906	
C, r, R, R, R, R, L, L, R, R	0	 at 	-0.093554084			PREZERO after 10 iterates
C, r, R, R, R, R, L, L, R, L	0	 at 	-0.093560678			PREZERO after 10 iterates
C, r, R, R, R, R, L, L, R, L		 at 	-0.093563975	
C, r, R, R, R, R, L, L, L, L		 at 	-0.09359459	
C, r, R, R, R, R, L, L, L, L	0	 at 	-0.093596945			PREZERO after 10 iterates
C, r, R, R, R, R, L, L, L, R	0	 at 	-0.093601655			PREZERO after 10 iterates
C, r, R, R, R, R, L, L, L, R		 at 	-0.093604638	
C, r, R, R, R, R, L, R, L, R		 at 	-0.093712811	
C, r, R, R, R, R, L, R, L, R	0	 at 	-0.093716422			PREZERO after 10 iterates
C, r, R, R, R, R, L, R, L, L	0	 at 	-0.093721917			PREZERO after 10 iterates
C, r, R, R, R, R, L, R, L, L		 at 	-0.0937249	
C, r, R, R, R, R, L, R, R, L		 at 	-0.093764935	
C, r, R, R, R, R, L, R, R, L	0	 at 	-0.093769488			PREZERO after 10 iterates
C, r, R, R, R, R, L, R, R, R	0	 at 	-0.093779222			PREZERO after 10 iterates
C, r, R, R, R, R, L, R, R, R		 at 	-0.093786758	
C, r, R, R, R, R, r, R, R, R		 at 	-0.094422294	
C, r, R, R, R, L, r, R, R, R		 at 	-0.094428417	
C, r, R, R, R, L, L, R, R, R		 at 	-0.094927363	
C, r, R, R, R, L, L, R, R, R	0	 at 	-0.094931916			PREZERO after 10 iterates
C, r, R, R, R, L, L, R, R, L	0	 at 	-0.094938039			PREZERO after 10 iterates
C, r, R, R, R, L, L, R, R, L		 at 	-0.094940708	
C, r, R, R, R, L, L, R, L, L		 at 	-0.094964572	
C, r, R, R, R, L, L, R, L, L	0	 at 	-0.094966142			PREZERO after 10 iterates
C, r, R, R, R, L, L, R, L, R	0	 at 	-0.094969439			PREZERO after 10 iterates
C, r, R, R, R, L, L, R, L, R		 at 	-0.09497148	
C, r, R, R, R, L, L, L, L, R		 at 	-0.095032553	
C, r, R, R, R, L, L, L, L, R	0	 at 	-0.095034123			PREZERO after 10 iterates
C, r, R, R, R, L, L, L, L, L	0	 at 	-0.095036635			PREZERO after 10 iterates
C, r, R, R, R, L, L, L, L, L		 at 	-0.095037891	
C, r, R, R, R, L, L, L, R, L		 at 	-0.095054062	
C, r, R, R, R, L, L, L, R, L	0	 at 	-0.095055632			PREZERO after 10 iterates
C, r, R, R, R, L, L, L, R, R	0	 at 	-0.095059243			PREZERO after 10 iterates
C, r, R, R, R, L, L, L, R, R		 at 	-0.095061755	
C, r, R, R, R, L, R, L, R, R		 at 	-0.095294586	
C, r, R, R, R, L, R, L, R, R	0	 at 	-0.095297412			PREZERO after 10 iterates
C, r, R, R, R, L, R, L, R, L	0	 at 	-0.095301651			PREZERO after 10 iterates
