C, r, R, R, R, R, R, R, R, R, R, R		 at 	-0.092415206	
C, r, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092421329			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, R, R, L	0	 at 	-0.092428708			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, R, R, L		 at 	-0.092432162	
C, r, R, R, R, R, R, R, R, R, L, L		 at 	-0.092458852	
C, r, R, R, R, R, R, R, R, R, L, L	0	 at 	-0.092460579			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, R, L, R	0	 at 	-0.092463876			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, R, L, R		 at 	-0.092466074	
C, r, R, R, R, R, R, R, R, L, L, R		 at 	-0.092517884	
C, r, R, R, R, R, R, R, R, L, L, R	0	 at 	-0.09251914			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, L, L, L	0	 at 	-0.092520867			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, L, L, L		 at 	-0.092521809	
C, r, R, R, R, R, R, R, R, L, R, L		 at 	-0.092533427	
C, r, R, R, R, R, R, R, R, L, R, L	0	 at 	-0.092534683			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, L, R, R	0	 at 	-0.092537038			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, R, L, R, R		 at 	-0.092538765	
C, r, R, R, R, R, R, R, L, L, R, R		 at 	-0.092646467	
C, r, R, R, R, R, R, R, L, L, R, R	0	 at 	-0.092647566			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, L, L, R, L	0	 at 	-0.092648979			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, L, L, R, L		 at 	-0.092649607	
C, r, R, R, R, R, R, R, L, L, L, L		 at 	-0.092656044	
C, r, R, R, R, R, R, R, L, L, L, L	0	 at 	-0.092656672			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, L, L, L, R	0	 at 	-0.092657614			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, L, L, L, R		 at 	-0.092658242	
C, r, R, R, R, R, R, R, L, R, L, R		 at 	-0.09268085	
C, r, R, R, R, R, R, R, L, R, L, R	0	 at 	-0.092681635			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, L, R, L, L	0	 at 	-0.092682734			PREZERO after 12 iterates
C, r, R, R, R, R, R, R, L, R, L, L		 at 	-0.092683362	
C, r, R, R, R, R, R, R, L, R, R, L		 at 	-0.092691683	
C, r, R, R, R, R, R, R, L, R, R, L	0	 at 	-0.092692782			PREZERO after 12 iterates
