C, r, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092408298	
C, r, R, R, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092409554			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, L	0	 at 	-0.092411124			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, L		 at 	-0.092411909	
C, r, R, R, R, R, R, R, R, R, R, R, L, L		 at 	-0.092417561	
C, r, R, R, R, R, R, R, R, R, R, R, L, L	0	 at 	-0.092418032			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L, R	0	 at 	-0.09241866			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.092419131	
C, r, R, R, R, R, R, R, R, R, R, L, L, R		 at 	-0.092430121	
C, r, R, R, R, R, R, R, R, R, R, L, L, R	0	 at 	-0.092430435			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, L, L, L	0	 at 	-0.092430749			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, L, L, L		 at 	-0.092430906	
C, r, R, R, R, R, R, R, R, R, R, L, R, L		 at 	-0.092433418	
C, r, R, R, R, R, R, R, R, R, R, L, R, L	0	 at 	-0.092433732			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, L, R, R	0	 at 	-0.092434203			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, R, L, R, R		 at 	-0.092434517	
C, r, R, R, R, R, R, R, R, R, L, L, R, R		 at 	-0.092457439	
C, r, R, R, R, R, R, R, R, R, L, L, R, R	0	 at 	-0.092457596			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, L, R, L	0	 at 	-0.09245791			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, L, R, L		 at 	-0.092458067	
C, r, R, R, R, R, R, R, R, R, L, L, L, L		 at 	-0.09245948	
C, r, R, R, R, R, R, R, R, R, L, L, L, L	0	 at 	-0.092459637			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, L, L, R	0	 at 	-0.092459794			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, L, L, R		 at 	-0.092459951	
C, r, R, R, R, R, R, R, R, R, L, R, L, R		 at 	-0.092464661	
C, r, R, R, R, R, R, R, R, R, L, R, L, R	0	 at 	-0.092464818			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, R, L, L	0	 at 	-0.092465132			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, R, L, L		 at 	-0.092465289	
C, r, R, R, R, R, R, R, R, R, L, R, R, L		 at 	-0.092467016	
C, r, R, R, R, R, R, R, R, R, L, R, R, L	0	 at 	-0.092467173			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, R, R, R	0	 at 	-0.092467644			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, R, L, R, R, R		 at 	-0.092467958	
C, r, R, R, R, R, R, R, R, L, L, R, R, R		 at 	-0.092516628	
C, r, R, R, R, R, R, R, R, L, L, R, R, R	0	 at 	-0.092516785			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, L, R, R, L	0	 at 	-0.092517099			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, L, R, R, L		 at 	-0.092517256	
C, r, R, R, R, R, R, R, R, L, L, R, L, L		 at 	-0.092518355	
C, r, R, R, R, R, R, R, R, L, L, R, L, L	0	 at 	-0.092518512			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, L, R, L, R		 at 	-0.092518669	
C, r, R, R, R, R, R, R, R, L, L, L, L, R		 at 	-0.092521338	
C, r, R, R, R, R, R, R, R, L, L, L, L, R		 at 	-0.092521495	
C, r, R, R, R, R, R, R, R, L, L, L, R, L		 at 	-0.09252228	
C, r, R, R, R, R, R, R, R, L, L, L, R, L	0	 at 	-0.092522437			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, L, L, R, R		 at 	-0.092522594	
C, r, R, R, R, R, R, R, R, L, R, L, R, R		 at 	-0.092532642	
C, r, R, R, R, R, R, R, R, L, R, L, R, L		 at 	-0.092532956	
C, r, R, R, R, R, R, R, R, L, R, L, L, L		 at 	-0.092533898	
C, r, R, R, R, R, R, R, R, L, R, L, L, R	0	 at 	-0.092534055			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, R, L, L, R		 at 	-0.092534212	
C, r, R, R, R, R, R, R, R, L, R, R, L, R		 at 	-0.092537666	
C, r, R, R, R, R, R, R, R, L, R, R, L, L		 at 	-0.09253798	
C, r, R, R, R, R, R, R, R, L, R, R, R, L		 at 	-0.09253955	
C, r, R, R, R, R, R, R, R, L, R, R, R, L	0	 at 	-0.092539707			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, R, R, R, R	0	 at 	-0.092540178			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, R, L, R, R, R, R		 at 	-0.092540492	
C, r, R, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.092645368	
C, r, R, R, R, R, R, R, L, L, R, R, R, R	0	 at 	-0.092645682			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, L, R, R, R, L	0	 at 	-0.092645839			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, L, R, R, R, L		 at 	-0.092645996	
C, r, R, R, R, R, R, R, L, L, R, R, L, L		 at 	-0.092646938	
C, r, R, R, R, R, R, R, L, L, R, R, L, L	0	 at 	-0.092647095			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, L, R, R, L, R		 at 	-0.092647252	
C, r, R, R, R, R, R, R, L, L, R, L, L, R		 at 	-0.092649293	
C, r, R, R, R, R, R, R, L, L, R, L, L, L		 at 	-0.09264945	
