C, r, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092407356	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092407827			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L	0	 at 	-0.092408612			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L		 at 	-0.092408926	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L		 at 	-0.092411595	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L	0	 at 	-0.092411752			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R	0	 at 	-0.092412066			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.092412223	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, R		 at 	-0.092417404	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, L		 at 	-0.092417718	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, L		 at 	-0.092418817	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, L	0	 at 	-0.092418974			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R	0	 at 	-0.092419288			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R		 at 	-0.092419445	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R		 at 	-0.092429964	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, L		 at 	-0.092430278	
C, r, R, R, R, R, R, R, R, R, R, L, L, L, L		 at 	-0.092430906	
C, r, R, R, R, R, R, R, R, R, R, L, L, L, R		 at 	-0.092431063	
C, r, R, R, R, R, R, R, R, R, R, L, R, L, R		 at 	-0.092433261	
C, r, R, R, R, R, R, R, R, R, R, L, R, L, L		 at 	-0.092433575	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, L		 at 	-0.09243436	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, L	0	 at 	-0.092434517			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R	0	 at 	-0.092434674			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R		 at 	-0.092434831	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R		 at 	-0.092457282	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R	0	 at 	-0.092457439			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, L, L, R, R, L		 at 	-0.092457596	
C, r, R, R, R, R, R, R, R, R, L, L, R, L, L		 at 	-0.092458067	
C, r, R, R, R, R, R, R, R, R, L, L, R, L, R		 at 	-0.092458224	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R		 at 	-0.092459323	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R		 at 	-0.09245948	
C, r, R, R, R, R, R, R, R, R, L, L, L, R, r		 at 	-0.092459794	
C, r, R, R, R, R, R, R, R, R, L, L, L, R, L		 at 	-0.092459951	
C, r, R, R, R, R, R, R, R, R, L, R, L, R, R		 at 	-0.092464661	
C, r, R, R, R, R, R, R, R, R, L, R, L, R, L		 at 	-0.092464818	
C, r, R, R, R, R, R, R, R, R, L, R, L, L, r		 at 	-0.092465132	
C, r, R, R, R, R, R, R, R, R, L, R, L, L, L		 at 	-0.092465289	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, R		 at 	-0.092466859	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, L		 at 	-0.092467173	
C, r, R, R, R, R, R, R, R, R, L, R, R, R, L		 at 	-0.092467801	
C, r, R, R, R, R, R, R, R, R, L, R, R, R, L	0	 at 	-0.092467958			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, L, R, R, R, R	0	 at 	-0.092468115			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, R, L, R, R, R, R		 at 	-0.092468272	
C, r, R, R, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.092516471	
C, r, R, R, R, R, R, R, R, L, L, R, R, R, R	0	 at 	-0.092516628			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, L, L, R, R, R, L		 at 	-0.092516785	
C, r, R, R, R, R, R, R, R, L, L, R, L, r, R		 at 	-0.092518198	
C, r, R, R, R, R, R, R, R, L, L, R, L, L, R		 at 	-0.092518355	
C, r, R, R, R, R, R, R, R, L, L, R, L, L, r		 at 	-0.092518512	
C, r, R, R, R, R, R, R, R, L, L, R, L, R, L		 at 	-0.092518669	
C, r, R, R, R, R, R, R, R, L, L, L, L, R, R		 at 	-0.092521181	
C, r, R, R, R, R, R, R, R, L, L, L, L, R, R		 at 	-0.092521338	
C, r, R, R, R, R, R, R, R, L, L, L, L, R, r		 at 	-0.092521495	
C, r, R, R, R, R, R, R, R, L, L, L, L, L, R		 at 	-0.092521652	
C, r, R, R, R, R, R, R, R, L, L, L, R, R, L		 at 	-0.092522594	
C, r, R, R, R, R, R, R, R, L, L, L, R, R, R		 at 	-0.092522751	
C, r, R, R, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.092532485	
C, r, R, R, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.092532642	
C, r, R, R, R, R, R, R, R, L, R, L, L, r, R		 at 	-0.092533741	
C, r, R, R, R, R, R, R, R, L, R, L, L, L, R		 at 	-0.092533898	
C, r, R, R, R, R, R, R, R, L, R, L, L, R, r		 at 	-0.092534055	
C, r, R, R, R, R, R, R, R, L, R, L, L, R, L		 at 	-0.092534212	
C, r, R, R, R, R, R, R, R, L, R, R, L, R, R		 at 	-0.092537509	
C, r, R, R, R, R, R, R, R, L, R, R, L, R, R		 at 	-0.092537666	
C, r, R, R, R, R, R, R, R, L, R, R, L, L, r		 at 	-0.09253798	
C, r, R, R, R, R, R, R, R, L, R, R, L, L, R		 at 	-0.092538137	
C, r, R, R, R, R, R, R, R, L, R, R, R, L, R		 at 	-0.09253955	
C, r, R, R, R, R, R, R, R, L, R, R, R, L, L		 at 	-0.092539707	
C, r, R, R, R, R, R, R, R, L, R, R, R, R, L		 at 	-0.092540335	
C, r, R, R, R, R, R, R, R, L, R, R, R, R, L	0	 at 	-0.092540492			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, L, R, R, R, R, R	0	 at 	-0.092540649			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, R, L, R, R, R, R, R		 at 	-0.092540806	
C, r, R, R, R, R, R, R, L, L, R, R, R, R, R		 at 	-0.092645211	
C, r, R, R, R, R, R, R, L, L, R, R, R, R, R	0	 at 	-0.092645368			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, L, L, R, R, R, R, L		 at 	-0.092645525	
C, r, R, R, R, R, R, R, L, L, R, R, L, L, r		 at 	-0.092647095	
C, r, R, R, R, R, R, R, L, L, R, R, L, R, L		 at 	-0.092647252	
C, r, R, R, R, R, R, R, L, L, R, L, L, R, R		 at 	-0.092649136	
C, r, R, R, R, R, R, R, L, L, R, L, L, R, R		 at 	-0.092649293	
C, r, R, R, R, R, R, R, L, L, R, L, R, L, r		 at 	-0.092650078	
C, r, R, R, R, R, R, R, L, L, R, L, R, R, R		 at 	-0.092650235	
C, r, R, R, R, R, R, R, L, L, L, L, L, r, R		 at 	-0.092656201	
C, r, R, R, R, R, R, R, L, L, L, L, L, R, R		 at 	-0.092656515	
C, r, R, R, R, R, R, R, L, L, L, R, L, R, R		 at 	-0.092657771	
C, r, R, R, R, R, R, R, L, L, L, R, L, R, L	0	 at 	-0.092657928			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, L, L, L, R, L, L, R		 at 	-0.092658085	
C, r, R, R, R, R, R, R, L, R, L, R, R, R, R		 at 	-0.092680065	
C, r, R, R, R, R, R, R, L, R, L, R, R, R, L		 at 	-0.092680222	
C, r, R, R, R, R, R, R, L, R, L, R, R, R, r		 at 	-0.092680379	
C, r, R, R, R, R, R, R, L, R, L, R, R, L, L		 at 	-0.092680536	
C, r, R, R, R, R, R, R, L, R, L, R, L, r, R		 at 	-0.092681007	
C, r, R, R, R, R, R, R, L, R, L, R, L, L, R		 at 	-0.092681164	
C, r, R, R, R, R, R, R, L, R, L, L, L, R, R		 at 	-0.092682891	
C, r, R, R, R, R, R, R, L, R, L, L, L, L, L		 at 	-0.092683205	
C, r, R, R, R, R, R, R, L, R, L, L, R, r, R		 at 	-0.092683519	
C, r, R, R, R, R, R, R, L, R, L, L, R, L, R		 at 	-0.092683676	
C, r, R, R, R, R, R, R, L, R, R, L, R, R, R		 at 	-0.092690898	
C, r, R, R, R, R, R, R, L, R, R, L, R, R, R		 at 	-0.092691055	
C, r, R, R, R, R, R, R, L, R, R, L, L, r, R		 at 	-0.092691997	
C, r, R, R, R, R, R, R, L, R, R, L, L, L, L		 at 	-0.092692154	
C, r, R, R, R, R, R, R, L, R, R, R, L, R, R		 at 	-0.092695294	
C, r, R, R, R, R, R, R, L, R, R, R, L, R, L		 at 	-0.092695451	
C, r, R, R, R, R, R, R, L, R, R, R, L, R, r		 at 	-0.092695608	
C, r, R, R, R, R, R, R, L, R, R, R, L, L, L		 at 	-0.092695765	
C, r, R, R, R, R, R, R, L, R, R, R, R, L, R		 at 	-0.092697021	
C, r, R, R, R, R, R, R, L, R, R, R, R, L, R		 at 	-0.092697178	
C, r, R, R, R, R, R, R, L, R, R, R, R, R, L		 at 	-0.092697963	
C, r, R, R, R, R, R, R, L, R, R, R, R, R, L	0	 at 	-0.09269812			PREZERO after 15 iterates
C, r, R, R, R, R, R, R, L, R, R, R, R, R, R		 at 	-0.092698277	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.092817911	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R	0	 at 	-0.092820737			PREZERO after 15 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R	0	 at 	-0.092830471			PREZERO after 15 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R		 at 	-0.092833297	
C, r, R, R, R, R, R, L, L, R, R, R, R, R, R		 at 	-0.092925927	
C, r, R, R, R, R, R, L, L, R, R, R, R, R, R	0	 at 	-0.092926084			PREZERO after 15 iterates
C, r, R, R, R, R, R, L, L, R, R, R, R, R, L		 at 	-0.092926241	
C, r, R, R, R, R, R, L, L, R, R, R, L, r, R		 at 	-0.092927497	
C, r, R, R, R, R, R, L, L, R, R, R, L, L, L		 at 	-0.092927654	
C, r, R, R, R, R, R, L, L, R, R, L, L, R, R		 at 	-0.092929538	
C, r, R, R, R, R, R, L, L, R, R, L, L, R, R		 at 	-0.092929695	
C, r, R, R, R, R, R, L, L, R, R, L, R, L, L		 at 	-0.092930323	
C, r, R, R, R, R, R, L, L, R, R, L, R, R, L		 at 	-0.09293048	
C, r, R, R, R, R, R, L, L, R, L, L, R, r, R		 at 	-0.092935033	
C, r, R, R, R, R, R, L, L, R, L, L, L, L, L		 at 	-0.09293519	
C, r, R, R, R, R, R, L, L, R, L, R, R, r, R		 at 	-0.092936603	
C, r, R, R, R, R, R, L, L, R, L, R, R, R, L		 at 	-0.092936917	
C, r, R, R, R, R, R, L, L, L, L, R, R, R, R		 at 	-0.092948692	
C, r, R, R, R, R, R, L, L, L, L, R, R, L, L		 at 	-0.092949006	
C, r, R, R, R, R, R, L, L, L, L, L, L, r, R		 at 	-0.092950262	
C, r, R, R, R, R, R, L, L, L, L, L, R, L, R		 at 	-0.092950419	
C, r, R, R, R, R, R, L, L, L, R, R, L, R, R		 at 	-0.092954972	
C, r, R, R, R, R, R, L, L, L, R, R, L, L, L		 at 	-0.092955129	
C, r, R, R, R, R, R, L, L, L, R, R, R, r, R		 at 	-0.092955443	
C, r, R, R, R, R, R, L, L, L, R, R, R, L, R		 at 	-0.0929556	
C, r, R, R, R, R, R, L, L, L, R, R, R, R, r		 at 	-0.092955757	
C, r, R, R, R, R, R, L, L, L, R, R, R, R, R		 at 	-0.092955914	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.092976795	
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R		 at 	-0.092979307	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, R		 at 	-0.093001758	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, L		 at 	-0.093001915	
C, r, R, R, R, R, R, L, R, L, R, R, R, R, r		 at 	-0.093002072	
C, r, R, R, R, R, R, L, R, L, R, R, R, L, L		 at 	-0.093002229	
C, r, R, R, R, R, R, L, R, L, R, L, R, L, R		 at 	-0.093004584	
C, r, R, R, R, R, R, L, R, L, R, L, R, R, L		 at 	-0.093004741	
C, r, R, R, R, R, R, L, R, L, L, R, R, r, R		 at 	-0.093009922	
C, r, R, R, R, R, R, L, R, L, L, R, R, L, R		 at 	-0.093010079	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, R		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, L		 at 	-0.093025779	
C, r, R, R, R, R, R, L, R, R, L, R, L, L, L		 at 	-0.093026564	
C, r, R, R, R, R, R, L, R, R, L, R, L, R, R		 at 	-0.093026721	
