C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.092406885	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092407042			PREZERO after 16 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, R	0	 at 	-0.092407356			PREZERO after 16 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, R, R, L		 at 	-0.092407513	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, L		 at 	-0.092408769	
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, L	0	 at 	-0.092408926			PREZERO after 16 iterates
C, r, R, R, R, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.092409083	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L, R		 at 	-0.092411438	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, L, R		 at 	-0.092411595	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, L		 at 	-0.092412223	
C, r, R, R, R, R, R, R, R, R, R, R, R, L, R, R		 at 	-0.09241238	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, R, R		 at 	-0.092417247	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, R, R		 at 	-0.092417404	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, L, r		 at 	-0.092417718	
C, r, R, R, R, R, R, R, R, R, R, R, L, L, L, R		 at 	-0.092417875	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, L, R		 at 	-0.092418817	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, L, L		 at 	-0.092418974	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R, r		 at 	-0.092419288	
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R, L	0	 at 	-0.092419445			PREZERO after 16 iterates
C, r, R, R, R, R, R, R, R, R, R, R, L, R, R, R		 at 	-0.092419602	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R, R		 at 	-0.092429807	
C, r, R, R, R, R, R, R, R, R, R, L, L, R, R, R		 at 	-0.092429964	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, r		 at 	-0.092434674	
C, r, R, R, R, R, R, R, R, R, R, L, R, R, R, R		 at 	-0.092434988	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.092457125	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.092457282	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, R, r		 at 	-0.092457439	
C, r, R, R, R, R, R, R, R, R, L, L, R, R, L, L		 at 	-0.092457596	
C, r, R, R, R, R, R, R, R, R, L, L, R, L, L, R		 at 	-0.092458067	
C, r, R, R, R, R, R, R, R, R, L, L, R, L, R, L		 at 	-0.092458224	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R, R		 at 	-0.092459323	
C, r, R, R, R, R, R, R, R, R, L, L, L, L, R, L		 at 	-0.09245948	
C, r, R, R, R, R, R, R, R, R, L, L, L, R, L, r		 at 	-0.092459951	
C, r, R, R, R, R, R, R, R, R, L, L, L, R, R, R		 at 	-0.092460108	
C, r, R, R, R, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.092464504	
C, r, R, R, R, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.092464661	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, R, L		 at 	-0.092467016	
C, r, R, R, R, R, R, R, R, R, L, R, R, L, L, L		 at 	-0.092467173	
C, r, R, R, R, R, R, R, R, R, L, R, R, R, R, r		 at 	-0.092468115	
C, r, R, R, R, R, R, R, R, R, L, R, R, R, R, R		 at 	-0.092468429	
C, r, R, R, R, R, R, R, R, L, L, R, R, L, r, R		 at 	-0.092517099	
C, r, R, R, R, R, R, R, R, L, L, R, R, L, R, R		 at 	-0.092517413	
C, r, R, R, R, R, R, R, R, L, L, R, L, r, R, R		 at 	-0.092518198	
C, r, R, R, R, R, R, R, R, L, L, R, L, L, R, L		 at 	-0.092518355	
C, r, R, R, R, R, R, R, R, L, L, L, L, R, R, R		 at 	-0.092521181	
C, r, R, R, R, R, R, R, R, L, L, L, L, R, R, L		 at 	-0.092521338	
C, r, R, R, R, R, R, R, R, L, L, L, L, R, r, R		 at 	-0.092521495	
C, r, R, R, R, R, R, R, R, L, L, L, L, L, R, L		 at 	-0.092521652	
C, r, R, R, R, R, R, R, R, L, R, L, R, L, r, R		 at 	-0.092532956	
C, r, R, R, R, R, R, R, R, L, R, L, R, L, R, R		 at 	-0.092533113	
C, r, R, R, R, R, R, R, R, L, R, R, R, L, R, R		 at 	-0.092539393	
C, r, R, R, R, R, R, R, R, L, R, R, R, L, R, R		 at 	-0.09253955	
C, r, R, R, R, R, R, R, R, L, R, R, R, R, R, r		 at 	-0.092540649	
C, r, R, R, R, R, R, R, R, L, R, R, R, R, R, L		 at 	-0.092540806	
C, r, R, R, R, R, R, R, L, L, R, R, R, R, R, R		 at 	-0.092645211	
C, r, R, R, R, R, R, R, L, L, R, R, R, R, R, L		 at 	-0.092645368	
C, r, R, R, R, R, R, R, L, L, R, R, R, L, r, R		 at 	-0.092645839	
C, r, R, R, R, R, R, R, L, L, R, R, R, L, L, R		 at 	-0.092645996	
C, r, R, R, R, R, R, R, L, L, L, R, R, L, r, R		 at 	-0.092658713	
C, r, R, R, R, R, R, R, L, L, L, R, R, R, R, R		 at 	-0.092659027	
C, r, R, R, R, R, R, R, L, R, L, R, R, R, R, R		 at 	-0.092679908	
C, r, R, R, R, R, R, R, L, R, L, R, R, R, R, R		 at 	-0.092680065	
C, r, R, R, R, R, R, R, L, R, R, L, R, R, R, R		 at 	-0.092690898	
C, r, R, R, R, R, R, R, L, R, R, L, R, R, R, L		 at 	-0.092691055	
C, r, R, R, R, R, R, R, L, R, R, R, L, R, R, R		 at 	-0.092695137	
